feature,importance
PC4,0.28708015057026776
PC2,0.1693006963115862
PC1,0.15489544584069118
PC8,0.07837115975508878
PC9,0.07518446973360601
PC6,0.06012921237282977
PC3,0.05401608070848878
PC5,0.052028720481286615
PC10,0.04674072586449088
PC7,0.022253338361664037
