model,accuracy,precision,recall,f1_score,specificity,false_positive_rate,false_negative_rate,confusion_matrix,tp,fp,tn,fn
random_forest,0.9199180203431,0.947630761263594,0.888963109154395,0.9173599034951669,0.9508729315318051,0.04912706846819493,0.11103689084560497,"[[31317  1618]
 [ 3657 29278]]",29278,1618,31317,3657
gradient_boosting,0.9299529376043723,0.956716658603451,0.9006528009716107,0.9278385986862684,0.9592530742371338,0.04074692576286625,0.09934719902838925,"[[31593  1342]
 [ 3272 29663]]",29663,1342,31593,3272
decision_tree,0.9045544253833308,0.9553656869446343,0.8487627144375285,0.898914703754321,0.9603461363291331,0.03965386367086686,0.15123728556247154,"[[31629  1306]
 [ 4981 27954]]",27954,1306,31629,4981
